Eat Mubarak ,"Syed Sair Ali, Mohammad Yusuf Jan",Male,E-commerce,Q1,2019,"Karavan, Other Undisclosed Investors",Local Investor (VC),,Seed,Undisclosed ,Not Associated,Active
Marham,"Ehsan Imam, Asma Salman Omer, Farwa Ali",Mixed-Gender Founding Team,HealthTech/Health,Q1,2019,Shazil Sultan Group ,Local Investor (Syndicate/Family Office/Other),,Pre-Seed,"5,000",Not Associated,Active
Fotisto,"Haider Tariq, Rashid Awan",Male,E-commerce,Q1,2019,Undisclosed,Undisclosed,,Pre-Seed,"15,000",Associated,Active
Roamer,"Muhammad Hadi, Ali Moeen",Male,Transportation/Mobility,Q1,2019,Undisclosed,International Investor (Other),Undisclosed,Seed,Undisclosed,Associated,Active
Dot & Line,"Maheen Adamjee, Lina Ahmed",Female,EdTech/Education,Q2,2019,Sarmayacar,Local Investor (VC),,Seed,"325,000",Associated,Active
Bookme.pk,"Faizan Aslam, Muhammad Qaisar, Abdul Wahab",Male,E-commerce,Q2,2019,Lakson Investments Venture Capital,Local Investor (VC),,Pre-Series A,"450,000",Associated,Active
Bykea,Muneeb Maayr,Male,Transportation/Mobility,Q2,2019,Sarmayacar ,Local Investor (VC),Middle East Venture Partners (MEVP),Series A,"5,700,000",Associated,Active
Smartchoice,Muhammad Sibtain Jiwani,Male,Fintech/Finance,Q3,2019,Wadi Accelerator ,Accelerator(s)/Incubator(s),,Angel Round,"100,000",Associated,Active
Amplifyd,"Adil Sarwar, Murad Hasan",Male,MarTech/Marketing,Q3,2019,Undisclosed,Undisclosed,Undisclosed,Pre-Seed,"70,000",Not Associated,Active
Cheetay.pk,Ahmed Khan ,Male,E-commerce,Q3,2019,Undisclosed,International Investor (Angel),Undisclosed,Series A,"7,800,000",Not Associated,Active
ProPakistani,Aamir Atta ,Male,Content,Q3,2019,"Usman Yousaf, Shayan Mehmud, Umayr Abbasi",Local Investor (Angel),,Undisclosed,Undisclosed ,Not Associated,Active
Mauqa Online,"Muhammad Mustafa, Suniya Saadullah Khan",Mixed-Gender Founding Team,On-Demand,Q3,2019,i2i Ventures,Local Investor (VC),"Karavan, Another Undisclosed Investor",Seed,Undisclosed,Associated,Active
Shopsy,Usama Arjumand,Male,E-commerce,Q3,2019,Sybrid,Local Investor (Angel),,Seed,Undisclosed,Associated,Active
